order,product,seller,customer,city,state,category,price,shipping,payment,purchased,delivered,estimated_delivery,rating
11479,0,16,11479,unknown,SP,toys,379.0,103.62,credit card,2018-03-22 10:32:32,2018-04-06 18:31:50,2018-04-17 12:00:00,2.5
11480,1,11,11480,sao paulo,SP,toys,820.05,10.85,credit card,2018-04-12 12:51:28,2018-04-16 19:16:36,2018-04-30 12:00:00,3.0
11481,2,8,11481,unknown,SP,sports,389.89,33.9,credit card,2017-07-10 21:36:55,2017-07-12 18:05:47,2017-07-21 12:00:00,3.5
11482,12,13,11482,unknown,SP,toys,50.21,20.9,credit card,2017-05-28 15:04:14,2017-06-07 14:59:41,2017-06-21 12:00:00,2.5
11483,8,7,11483,unknown,MG,toys,136.94,47.55,credit card,2018-06-28 09:09:32,2018-07-11 18:32:00,2018-07-24 12:00:00,2.0
11484,17,13,11484,sao paulo,SP,toys,171.9,63.79,credit card,2017-12-02 12:43:21,2017-12-20 18:14:44,2017-12-28 12:00:00,3.0
11485,7,10,11485,unknown,SP,fashion,59.65,20.67,credit card,2017-06-17 18:33:32,2017-06-21 16:51:58,2017-07-07 12:00:00,2.0
11486,12,7,11486,rio de janeiro,RJ,health,692.0,26.14,credit card,2017-03-30 21:36:05,2017-04-03 20:12:23,2017-04-24 12:00:00,5.0
11487,12,5,11487,sao paulo,SP,toys,148.5,84.66,credit card,2017-09-26 12:48:15,2017-10-06 13:24:00,2017-10-18 12:00:00,2.0
11488,13,12,11488,unknown,SP,health,42.89,30.66,credit card,2017-09-13 11:05:49,2017-09-18 19:25:34,2017-09-29 12:00:00,1.0
11489,2,12,11489,unknown,SP,health,100.21,33.07,credit card,2018-07-16 12:31:42,2018-07-23 18:10:46,2018-08-10 12:00:00,2.5
11490,4,1,11490,rio de janeiro,RJ,sports,51.49,148.71,credit card,2017-12-16 15:08:36,2018-01-03 23:57:34,2018-01-12 12:00:00,1.0
11491,3,19,11491,unknown,MG,toys,50.21,6.87,other,2018-06-07 10:06:19,2018-06-19 12:05:52,2018-07-18 12:00:00,2.5
11492,3,7,11492,sao paulo,SP,toys,2899.0,7.54,credit card,2018-06-21 18:32:08,2018-06-25 13:49:47,2018-07-04 12:00:00,4.5
11493,1,1,11493,unknown,SP,toys,164.98,55.54,other,2017-02-03 23:26:02,2017-02-14 11:41:42,2017-02-28 12:00:00,2.0
11494,13,19,11494,santo andre,SP,health,395.6,59.82,credit card,2017-05-06 17:54:59,2017-05-25 19:04:56,2017-05-31 12:00:00,3.5
11495,4,5,11495,santa maria,RS,fashion,100.0,171.88,credit card,2018-05-07 10:00:08,2018-05-22 21:20:52,2018-06-08 12:00:00,1.0
11496,4,5,11496,sao paulo,SP,technology,99.98,7.97,credit card,2018-02-28 17:06:27,2018-03-09 14:28:23,2018-03-28 12:00:00,4.5
11497,13,3,11497,sao paulo,SP,technology,265.9,47.32,credit card,2018-08-02 18:11:50,2018-08-04 16:54:47,2018-08-08 12:00:00,4.0
11498,1,20,11498,campinas,SP,technology,68.1,60.07,credit card,2018-04-14 11:04:35,2018-05-07 17:38:31,2018-05-15 12:00:00,2.0
11499,13,3,11499,rio de janeiro,RJ,technology,299.36,25.87,credit card,2018-05-09 16:35:05,2018-05-15 19:18:48,2018-06-08 12:00:00,5.0
11500,1,3,11500,unknown,SP,fashion,914.65,64.29,credit card,2018-04-02 09:01:04,2018-04-04 19:33:08,2018-04-26 12:00:00,2.0
11501,1,15,11501,unknown,SP,fashion,35.79,30.66,other,2017-07-31 15:37:43,2017-08-04 19:09:40,2017-08-18 12:00:00,1.0
11502,2,20,11502,unknown,SP,sports,133.05,30.66,other,2017-08-16 09:28:07,2017-08-23 18:53:02,2017-09-05 12:00:00,1.0
11503,4,3,11503,unknown,MG,health,117.5,10.28,credit card,2017-01-19 14:38:27,2017-01-23 12:38:48,2017-02-27 12:00:00,3.0
11504,14,14,11504,porto alegre,RS,fashion,23.95,114.62,credit card,2018-06-23 14:01:30,2018-07-09 21:51:27,2018-07-30 12:00:00,1.0
11505,7,7,11505,campinas,SP,health,38.94,17.65,credit card,2018-04-27 18:04:15,2018-05-11 21:48:43,2018-05-28 12:00:00,2.0
11506,4,16,11506,sao paulo,SP,fashion,54.98,61.32,credit card,2017-05-04 23:14:03,2017-05-10 15:53:44,2017-05-25 12:00:00,1.0
11507,12,10,11507,unknown,SP,sports,144.97,30.66,credit card,2017-11-16 22:44:30,2017-11-23 20:38:35,2017-12-05 12:00:00,1.0
11508,11,8,11508,unknown,SP,fashion,91.33,106.95,credit card,2017-10-08 14:53:58,2017-10-13 21:36:49,2017-11-01 12:00:00,1.0
11509,2,1,11509,campinas,SP,sports,77.07,104.0,credit card,2018-06-25 14:34:49,2018-07-02 12:41:12,2018-07-19 12:00:00,1.0
11510,11,17,11510,rio de janeiro,RJ,fashion,24.79,14.39,credit card,2018-05-18 10:02:57,2018-06-07 13:04:02,2018-06-20 12:00:00,4.5
11511,10,12,11511,sao paulo,SP,fashion,420.07,41.41,other,2017-12-19 18:08:44,2017-12-27 16:18:56,2018-01-15 12:00:00,3.0
11512,9,12,11512,nova iguacu,RJ,fashion,148.48,42.54,credit card,2018-03-03 09:33:15,2018-03-12 14:46:49,2018-03-26 12:00:00,5.0
11513,2,18,11513,unknown,MG,toys,304.9,48.47,credit card,2018-05-09 14:02:32,2018-05-21 17:08:33,2018-06-07 12:00:00,3.0
11514,9,16,11514,unknown,RS,fashion,213.0,149.01,other,2017-03-29 10:09:34,2017-04-11 12:13:03,2017-04-25 12:00:00,2.0
11515,14,10,11515,sao bernardo do campo,SP,fashion,95.03,11.7,credit card,2017-09-17 09:59:15,2017-09-21 13:07:52,2017-10-04 12:00:00,4.5
11516,0,1,11516,rio de janeiro,RJ,sports,69.7,14.83,credit card,2018-07-30 22:14:14,2018-08-08 16:42:13,2018-08-21 12:00:00,5.0
11517,13,10,11517,unknown,SP,health,283.2,89.44,credit card,2018-03-23 08:49:19,2018-03-28 02:52:21,2018-04-11 12:00:00,3.5
11518,1,7,11518,unknown,SP,toys,152.5,42.49,other,2018-01-04 18:47:51,2018-01-10 17:34:45,2018-01-22 12:00:00,1.0
11519,9,21,11519,campinas,SP,fashion,258.3,32.34,credit card,2017-09-02 12:24:01,2017-09-05 20:17:46,2017-09-15 12:00:00,3.0
11520,0,17,11520,unknown,MG,fashion,42.79,30.6,credit card,2018-07-04 18:14:57,2018-07-09 21:33:12,2018-08-02 12:00:00,1.5
11521,6,3,11521,uberlandia,MG,fashion,60.09,11.46,other,2018-08-09 10:27:19,2018-08-25 14:48:30,2018-09-18 12:00:00,3.5
11522,5,3,11522,sao paulo,SP,technology,159.9,21.01,credit card,2018-08-26 22:48:32,2018-08-28 18:48:36,2018-08-30 12:00:00,4.5
11523,13,1,11523,unknown,SP,technology,358.8,62.97,other,2018-02-23 01:23:42,2018-03-06 22:21:48,2018-03-09 12:00:00,1.0
11524,2,1,11524,campinas,SP,technology,138.98,17.34,credit card,2018-03-11 19:07:43,2018-03-16 20:03:37,2018-03-22 12:00:00,3.0
11525,3,20,11525,unknown,RS,technology,129.01,35.74,credit card,2018-07-19 14:25:22,2018-07-27 20:38:37,2018-08-14 12:00:00,3.0
11526,3,22,11526,rio de janeiro,RJ,fashion,18.1,64.41,credit card,2017-05-21 16:19:58,2017-05-26 20:49:53,2017-06-13 12:00:00,1.0
11527,14,5,11527,nova iguacu,RJ,fashion,28.82,97.74,credit card,2018-03-15 18:15:20,2018-03-22 14:18:33,2018-04-09 12:00:00,1.0
11528,5,10,11528,unknown,MG,toys,366.5,64.55,credit card,2017-07-04 01:44:17,2017-07-17 17:05:25,2017-07-26 12:00:00,3.0
11529,1,3,11529,unknown,PR,health,366.4,72.87,credit card,2017-11-23 20:30:52,2017-12-13 20:19:35,2017-12-19 12:00:00,2.5
11530,11,3,11530,rio de janeiro,RJ,fashion,12.98,72.67,credit card,2017-05-10 10:39:56,2017-05-23 16:55:57,2017-05-31 12:00:00,1.0
11531,12,21,11531,unknown,PR,health,1589.0,38.66,other,2017-11-29 13:47:30,2017-12-13 13:18:02,2017-12-27 12:00:00,2.0
11532,3,5,11532,campinas,SP,fashion,28.8,61.32,credit card,2018-01-30 13:49:25,2018-02-08 19:36:36,2018-02-19 12:00:00,1.0
11533,8,5,11533,unknown,PR,health,106.74,16.06,credit card,2018-08-05 11:59:59,2018-08-17 16:32:31,2018-08-31 12:00:00,3.5
11534,17,10,11534,guarulhos,SP,toys,1899.0,18.05,credit card,2018-04-02 14:54:18,2018-04-04 20:54:42,2018-04-12 12:00:00,3.5
11535,9,10,11535,unknown,SP,health,590.0,3.41,credit card,2018-04-17 15:52:46,2018-04-25 01:37:33,2018-05-10 12:00:00,4.5
11536,3,22,11536,unknown,SP,fashion,40.8,6.47,credit card,2017-03-19 21:27:14,2017-03-24 16:35:52,2017-04-06 12:00:00,3.0
11537,5,7,11537,unknown,SP,toys,399.2,6.87,credit card,2018-06-08 12:12:54,2018-06-15 15:37:46,2018-07-04 12:00:00,3.0
11538,6,4,11538,niteroi,RJ,technology,449.0,26.94,credit card,2017-07-18 11:10:37,2017-08-01 19:13:12,2017-08-10 12:00:00,5.0
11539,6,17,11539,juiz de fora,MG,technology,113.49,49.06,other,2018-06-17 00:14:30,2018-06-26 19:44:26,2018-07-16 12:00:00,1.0
11540,1,21,11540,sao paulo,SP,toys,51.49,21.4,other,2017-10-10 12:03:02,2017-10-17 14:47:56,2017-10-23 12:00:00,2.0
11541,6,5,11541,unknown,SP,fashion,45.05,69.23,credit card,2018-01-14 21:39:08,2018-01-24 11:33:05,2018-02-07 12:00:00,1.0
11542,14,1,11542,unknown,RJ,fashion,107.63,30.45,credit card,2018-02-24 19:34:27,2018-04-04 20:34:54,2018-03-23 12:00:00,1.0
11543,3,1,11543,sao paulo,SP,fashion,58.6,55.35,credit card,2018-01-05 12:39:07,2018-01-10 18:58:49,2018-01-23 12:00:00,2.0
11544,3,19,11544,unknown,SP,toys,98.6,23.6,credit card,2017-10-29 16:34:00,2017-11-03 21:37:46,2017-11-13 12:00:00,1.0
11545,8,13,11545,guarulhos,SP,toys,335.99,54.06,other,2017-07-25 18:55:53,2017-08-01 17:29:51,2017-08-14 12:00:00,3.5
11546,1,15,11546,sao paulo,SP,sports,820.0,62.97,credit card,2018-08-17 09:57:04,2018-08-25 00:47:52,2018-08-27 12:00:00,5.0
11547,12,12,11547,sao paulo,SP,health,296.5,45.5,credit card,2018-02-09 09:05:39,2018-02-16 01:55:52,2018-03-09 12:00:00,5.0
11548,0,15,11548,unknown,SP,sports,188.8,23.3,credit card,2017-04-27 14:08:56,2017-05-10 09:30:07,2017-05-25 12:00:00,4.5
11549,13,8,11549,sao paulo,SP,health,311.0,21.93,other,2018-01-18 14:29:05,2018-01-30 18:57:02,2018-02-21 12:00:00,3.0
11550,13,9,11550,sao paulo,SP,sports,125.46,11.79,credit card,2018-03-29 00:24:16,2018-04-02 20:17:45,2018-04-11 12:00:00,3.0
11551,6,17,11551,unknown,SP,technology,83.36,34.33,other,2018-07-07 13:54:24,2018-07-11 15:47:39,2018-07-19 12:00:00,1.5
11552,6,10,11552,unknown,SP,health,194.0,28.61,credit card,2018-05-16 14:14:03,2018-05-25 00:44:24,2018-06-01 12:00:00,4.0
11553,7,10,11553,unknown,RJ,health,319.29,29.87,credit card,2017-08-24 11:36:36,2017-09-05 17:38:06,2017-09-20 12:00:00,4.0
11554,6,7,11554,sao paulo,SP,sports,111.27,34.33,credit card,2018-03-23 17:01:23,2018-03-28 17:58:45,2018-04-05 12:00:00,3.5
11555,6,7,11555,sao paulo,SP,fashion,37.0,6.87,credit card,2018-05-06 17:04:16,2018-05-14 18:28:46,2018-05-29 12:00:00,4.5
11556,1,24,11556,unknown,SP,technology,548.0,83.6,credit card,2018-01-11 15:30:49,2018-01-17 18:42:41,2018-02-02 12:00:00,3.5
11557,0,20,11557,unknown,SP,fashion,144.41,51.45,credit card,2018-03-03 08:52:32,2018-03-16 22:57:33,2018-03-28 12:00:00,1.0
11558,12,20,11558,rio de janeiro,RJ,health,692.0,46.76,credit card,2017-10-09 15:07:56,2017-10-20 17:38:26,2017-10-27 12:00:00,5.0
11559,6,4,11559,sao paulo,SP,technology,311.95,13.17,credit card,2018-01-08 21:16:36,2018-01-17 16:38:15,2018-01-31 12:00:00,4.0
11560,1,9,11560,unknown,MG,technology,514.0,82.44,credit card,2017-02-17 16:10:12,2017-03-06 10:33:22,2017-03-20 12:00:00,4.0
11561,6,2,11561,sao paulo,SP,technology,820.05,47.55,credit card,2017-09-27 14:47:27,2017-10-11 13:34:16,2017-10-31 12:00:00,4.5
11562,9,1,11562,uberaba,MG,health,692.0,82.01,credit card,2018-01-03 11:25:41,2018-01-11 20:34:05,2018-02-06 12:00:00,3.0
11563,0,11,11563,unknown,SP,health,153.75,55.54,credit card,2017-04-06 22:30:39,2017-04-13 13:34:38,2017-04-27 12:00:00,2.0
11564,7,5,11564,rio de janeiro,RJ,fashion,128.99,9.84,credit card,2017-11-26 00:26:37,2017-12-19 17:25:27,2017-12-18 12:00:00,5.0
11565,0,6,11565,rio de janeiro,RJ,technology,399.2,51.45,credit card,2017-07-24 15:01:29,2017-08-02 15:02:52,2017-08-15 12:00:00,5.0
11566,10,12,11566,rio de janeiro,RJ,fashion,475.0,47.55,credit card,2018-03-05 03:48:19,2018-03-27 21:58:37,2018-04-11 12:00:00,5.0
11567,4,22,11567,uberlandia,MG,fashion,38.95,163.52,other,2017-06-12 11:00:02,2017-06-27 14:16:51,2017-07-05 12:00:00,1.5
11568,9,21,11568,belo horizonte,MG,health,40.95,15.84,credit card,2017-10-17 09:48:05,2017-10-23 20:24:46,2017-11-09 12:00:00,2.5
11569,15,12,11569,unknown,SP,sports,188.8,12.97,credit card,2018-08-15 21:27:41,2018-08-24 21:44:36,2018-08-30 12:00:00,2.5
11570,11,23,11570,sao paulo,SP,fashion,95.03,119.63,credit card,2018-03-28 07:43:11,2018-04-02 16:11:22,2018-04-24 12:00:00,1.0
11571,4,6,11571,sao bernardo do campo,SP,fashion,109.6,34.33,other,2018-08-25 13:07:13,2018-08-29 18:36:36,2018-08-30 12:00:00,2.0
11572,5,20,11572,unknown,SP,technology,2899.0,47.55,credit card,2017-10-19 09:38:37,2017-11-06 17:28:53,2017-11-10 12:00:00,3.5
11573,2,21,11573,unknown,MG,toys,37.84,72.16,credit card,2017-05-15 14:08:00,2017-05-19 12:59:39,2017-06-02 12:00:00,1.0
11574,13,7,11574,unknown,SP,toys,43.11,34.33,credit card,2018-05-20 22:04:41,2018-05-25 15:44:28,2018-05-30 12:00:00,1.0
11575,5,10,11575,niteroi,RJ,technology,117.56,25.26,credit card,2017-11-28 09:42:22,2018-01-16 19:48:06,2017-12-22 12:00:00,1.5
11576,2,23,11576,unknown,RS,sports,679.0,193.78,other,2017-11-24 14:30:49,2017-12-01 22:44:43,2017-12-20 12:00:00,2.0
11577,0,14,11577,unknown,SP,fashion,12.35,82.19,credit card,2018-04-30 21:00:40,2018-05-07 14:12:06,2018-05-21 12:00:00,1.0
11578,4,8,11578,sao paulo,SP,health,72.4,24.79,credit card,2017-01-31 00:53:39,2017-02-06 15:15:01,2017-03-28 12:00:00,3.0
11579,4,24,11579,sao paulo,SP,technology,0.85,17.38,other,2017-11-07 17:30:39,2017-11-24 16:48:42,2017-12-01 12:00:00,1.0
11580,1,13,11580,unknown,SP,toys,13.7,2.76,credit card,2017-12-09 14:04:06,2017-12-16 16:49:06,2017-12-28 12:00:00,2.0
11581,0,1,11581,rio de janeiro,RJ,toys,106.74,16.06,other,2018-08-14 09:38:33,2018-08-24 17:36:46,2018-08-29 12:00:00,5.0
11582,9,16,11582,sao paulo,SP,sports,729.0,47.55,credit card,2017-11-17 20:01:36,2017-11-24 23:34:40,2017-12-13 12:00:00,3.0
11583,7,17,11583,sao goncalo,RJ,health,16.2,25.47,credit card,2018-06-17 10:36:37,2018-06-22 22:57:31,2018-07-12 12:00:00,1.0
11584,15,3,11584,unknown,SP,sports,116.11,30.66,other,2017-11-13 16:27:21,2017-11-24 01:43:47,2017-12-06 12:00:00,2.5
11585,1,16,11585,unknown,SP,fashion,59.21,34.33,credit card,2018-05-03 17:37:49,2018-05-08 22:58:38,2018-05-16 12:00:00,1.5
11586,0,12,11586,unknown,MG,technology,125.46,12.08,credit card,2017-02-07 20:31:37,2017-03-03 16:54:03,2017-03-08 12:00:00,3.5
11587,1,5,11587,sao paulo,SP,sports,0.85,34.33,credit card,2018-03-15 11:30:37,2018-03-18 12:28:28,2018-03-27 12:00:00,1.0
11588,11,16,11588,unknown,MG,fashion,729.99,47.55,credit card,2017-12-04 11:04:49,2018-01-04 15:28:55,2017-12-29 12:00:00,1.0
11589,15,9,11589,unknown,MG,sports,170.7,6.87,other,2018-03-20 11:03:07,2018-04-04 19:36:10,2018-04-11 12:00:00,1.0
11590,2,7,11590,campinas,SP,health,95.03,14.83,credit card,2018-03-23 12:04:28,2018-03-27 15:39:08,2018-04-05 12:00:00,4.5
11591,5,3,11591,unknown,SP,technology,27.92,7.61,other,2018-02-19 22:16:17,2018-03-12 15:51:12,2018-03-16 12:00:00,1.0
11592,1,8,11592,unknown,RS,sports,174.47,18.88,other,2017-06-04 15:07:18,2017-06-28 14:15:02,2017-07-04 12:00:00,4.5
11593,5,8,11593,sao paulo,SP,toys,145.99,54.48,credit card,2018-01-03 23:31:19,2018-01-05 18:55:34,2018-01-30 12:00:00,3.5
11594,13,3,11594,unknown,SP,technology,538.9,33.86,credit card,2018-03-23 20:59:26,2018-04-03 04:08:35,2018-04-11 12:00:00,4.5
11595,0,11,11595,niteroi,RJ,technology,156.9,38.3,other,2017-07-20 15:25:14,2017-08-05 13:49:53,2017-08-22 12:00:00,4.5
11596,2,15,11596,unknown,RS,sports,168.98,121.73,credit card,2018-06-28 00:18:45,2018-07-04 23:38:44,2018-08-01 12:00:00,2.0
11597,6,23,11597,sao paulo,SP,fashion,52.0,79.43,credit card,2018-08-07 23:32:14,2018-08-10 20:26:44,2018-08-13 12:00:00,1.0
11598,0,17,11598,rio de janeiro,RJ,technology,91.33,40.75,credit card,2018-07-19 19:38:45,2018-07-25 02:14:37,2018-08-16 12:00:00,5.0
11599,4,9,11599,unknown,SP,fashion,120.38,42.85,credit card,2018-01-03 22:33:07,2018-01-13 02:18:48,2018-01-19 12:00:00,3.5
11600,6,7,11600,unknown,MG,technology,509.99,92.95,credit card,2018-08-09 17:07:14,2018-08-17 16:28:39,2018-08-20 12:00:00,3.0
11601,2,1,11601,unknown,SP,toys,41.58,11.04,credit card,2017-12-01 11:35:29,2017-12-21 21:21:29,2018-01-09 12:00:00,1.0
11602,5,11,11602,unknown,MG,toys,264.29,82.01,credit card,2017-09-05 17:41:53,2017-09-20 15:16:10,2017-09-27 12:00:00,2.5
11603,3,14,11603,sao paulo,SP,fashion,81.99,34.33,credit card,2018-08-14 09:58:07,2018-08-16 20:52:02,2018-08-21 12:00:00,2.0
11604,1,24,11604,unknown,MG,technology,56.89,3.57,credit card,2018-08-04 16:41:57,2018-08-13 23:26:50,2018-08-20 12:00:00,2.0
11605,0,21,11605,unknown,SP,fashion,19.3,143.67,credit card,2018-02-27 14:47:00,2018-03-07 23:47:08,2018-03-19 12:00:00,1.0
11606,2,8,11606,unknown,SP,technology,127.77,30.66,credit card,2017-12-18 11:50:01,2017-12-27 02:38:12,2018-01-11 12:00:00,3.0
11607,0,0,11607,unknown,SP,fashion,358.99,9.21,credit card,2018-01-05 16:53:04,2018-01-10 17:17:49,2018-01-26 12:00:00,3.0
11608,14,15,11608,campinas,SP,fashion,161.0,38.63,credit card,2018-04-22 17:47:38,2018-04-26 15:42:10,2018-05-10 12:00:00,3.0
11609,9,3,11609,rio de janeiro,RJ,technology,19.9,20.27,credit card,2017-11-12 23:19:39,2017-12-01 20:03:17,2017-12-01 12:00:00,1.5
11610,9,21,11610,unknown,SP,fashion,42.89,60.07,credit card,2018-04-23 17:26:37,2018-04-30 22:36:29,2018-05-07 12:00:00,1.5
11611,0,12,11611,unknown,MG,health,509.99,47.55,other,2017-11-21 11:37:06,2017-11-30 18:33:04,2017-12-11 12:00:00,2.0
11612,4,1,11612,unknown,MG,fashion,53.95,36.11,credit card,2017-05-28 15:50:05,2017-06-07 11:51:24,2017-06-21 12:00:00,2.5
11613,1,3,11613,sao paulo,SP,technology,111.27,34.33,credit card,2018-03-22 14:19:29,2018-03-29 18:04:55,2018-04-11 12:00:00,3.5
11614,0,10,11614,campinas,SP,fashion,216.99,26.26,credit card,2018-05-08 20:46:17,2018-05-10 12:21:30,2018-05-16 12:00:00,4.0
11615,8,2,11615,unknown,SP,technology,344.0,59.0,credit card,2018-08-15 14:02:44,2018-08-21 10:15:44,2018-08-28 12:00:00,4.5
11616,7,20,11616,sao paulo,SP,fashion,108.34,34.33,credit card,2018-03-17 14:49:12,2018-03-22 20:12:24,2018-03-29 12:00:00,2.0
11617,6,3,11617,unknown,RJ,technology,358.99,12.79,other,2018-07-23 15:36:12,2018-07-30 20:19:31,2018-08-09 12:00:00,3.5
11618,6,3,11618,sao bernardo do campo,SP,sports,170.0,34.33,credit card,2018-05-31 12:48:26,2018-06-04 21:35:54,2018-06-29 12:00:00,2.5
11619,0,1,11619,belo horizonte,MG,technology,1899.0,20.9,other,2018-01-20 20:57:48,2018-01-25 02:56:47,2018-02-14 12:00:00,4.5
11620,7,17,11620,rio de janeiro,RJ,fashion,45.05,58.09,credit card,2018-03-24 14:57:23,2018-05-18 01:19:41,2018-04-20 12:00:00,1.0
11621,10,3,11621,campinas,SP,fashion,97.05,38.63,credit card,2018-06-10 18:08:28,2018-06-12 19:46:44,2018-06-26 12:00:00,2.0
11622,2,1,11622,unknown,RS,technology,1590.0,67.76,other,2017-07-07 14:55:43,2017-07-27 20:52:15,2017-08-08 12:00:00,3.0
11623,1,12,11623,unknown,PR,toys,102.8,34.32,other,2018-04-24 15:20:54,2018-05-05 14:48:51,2018-05-23 12:00:00,1.5
11624,5,17,11624,unknown,RJ,technology,16.9,57.15,credit card,2018-08-21 21:32:17,2018-08-28 19:51:48,2018-08-31 12:00:00,1.0
11625,6,7,11625,sao paulo,SP,fashion,0.85,9.49,credit card,2018-07-03 17:32:52,2018-07-05 23:26:46,2018-07-16 12:00:00,1.5
11626,9,7,11626,unknown,MG,technology,49.31,16.37,other,2018-01-17 14:16:43,2018-01-31 17:27:10,2018-02-08 12:00:00,1.5
11627,3,0,11627,contagem,MG,fashion,509.99,20.9,other,2018-01-28 07:10:53,2018-02-14 19:38:47,2018-02-20 12:00:00,2.0
11628,12,22,11628,unknown,SP,toys,115.35,32.88,credit card,2017-07-17 14:31:23,2017-07-28 14:26:43,2017-08-03 12:00:00,2.5
11629,12,17,11629,rio de janeiro,RJ,sports,1149.65,108.63,credit card,2018-04-01 20:17:21,2018-04-16 21:24:39,2018-05-04 12:00:00,5.0
11630,1,3,11630,unknown,PR,toys,475.0,6.87,other,2018-06-06 17:10:26,2018-06-13 20:33:21,2018-07-18 12:00:00,1.0
11631,4,5,11631,unknown,RS,sports,10.35,33.74,credit card,2017-06-26 10:55:20,2017-07-01 08:39:48,2017-07-24 12:00:00,1.0
11632,1,16,11632,unknown,SP,toys,125.46,30.88,credit card,2018-06-25 22:59:03,2018-06-28 16:38:32,2018-07-19 12:00:00,2.5
11633,2,8,11633,unknown,RJ,toys,403.9,82.01,credit card,2017-10-15 15:41:36,2017-10-26 19:57:36,2017-11-07 12:00:00,3.0
11634,1,8,11634,unknown,SP,sports,692.0,38.53,credit card,2018-01-14 15:01:39,2018-01-29 23:52:31,2018-02-06 12:00:00,2.5
11635,12,10,11635,unknown,SP,health,193.25,97.07,credit card,2018-07-03 19:19:20,2018-07-06 13:03:48,2018-07-19 12:00:00,1.0
11636,6,5,11636,sao paulo,SP,fashion,399.2,38.66,other,2017-07-22 14:11:29,2017-07-31 14:21:36,2017-08-15 12:00:00,3.5
11637,2,20,11637,belo horizonte,MG,technology,820.0,26.11,other,2017-11-09 14:07:54,2017-11-20 20:12:25,2017-12-01 12:00:00,2.0
11638,0,9,11638,santa maria,RS,health,150.82,34.71,credit card,2018-04-16 21:57:27,2018-05-01 02:34:50,2018-05-11 12:00:00,5.0
11639,2,12,11639,unknown,SP,sports,538.9,20.25,credit card,2018-07-13 17:43:10,2018-07-23 23:32:48,2018-07-30 12:00:00,2.5
11640,10,3,11640,unknown,SP,fashion,310.01,45.53,credit card,2017-05-17 16:18:57,2017-05-25 09:11:46,2017-06-06 12:00:00,4.5
11641,2,9,11641,londrina,PR,toys,349.9,47.55,other,2017-06-01 18:11:07,2017-06-19 15:13:17,2017-06-26 12:00:00,3.0
11642,3,19,11642,sao paulo,SP,toys,12.26,57.14,credit card,2018-06-18 16:23:56,2018-06-22 14:34:35,2018-07-17 12:00:00,1.5
11643,2,12,11643,unknown,MG,health,91.33,120.79,credit card,2018-03-21 08:40:54,2018-04-03 17:42:43,2018-04-10 12:00:00,1.0
11644,0,14,11644,unknown,MG,fashion,51.37,25.95,credit card,2017-10-29 14:13:18,2017-11-06 17:18:30,2017-11-23 12:00:00,1.0
11645,9,7,11645,rio de janeiro,RJ,technology,820.0,77.92,credit card,2017-03-14 00:01:26,2017-03-21 12:35:57,2017-04-04 12:00:00,5.0
11646,9,3,11646,unknown,MG,toys,1001.0,47.55,other,2017-06-30 08:50:38,2017-07-07 18:58:44,2017-07-24 12:00:00,2.5
11647,14,1,11647,ponta grossa,PR,fashion,128.99,29.34,other,2018-01-10 18:23:37,2018-01-18 21:06:02,2018-02-02 12:00:00,1.0
11648,3,0,11648,sao paulo,SP,toys,779.9,16.23,other,2018-07-20 02:27:56,2018-07-24 18:18:42,2018-07-30 12:00:00,3.0
11649,0,1,11649,unknown,SP,sports,692.0,33.9,credit card,2017-11-16 23:39:03,2017-11-20 22:22:59,2017-11-29 12:00:00,2.5
11650,8,1,11650,unknown,SP,toys,66.0,67.11,credit card,2017-12-13 08:44:11,2017-12-27 21:47:18,2018-01-10 12:00:00,1.0
11651,4,15,11651,unknown,MG,fashion,820.05,55.54,credit card,2017-02-06 23:31:18,2017-02-17 15:34:04,2017-03-13 12:00:00,3.0
11652,17,24,11652,duque de caxias,RJ,toys,432.0,12.28,other,2018-06-13 11:14:12,2018-06-19 00:31:33,2018-07-11 12:00:00,5.0
11653,9,5,11653,unknown,SP,fashion,174.42,22.18,credit card,2018-04-22 22:07:08,2018-05-03 17:51:55,2018-05-17 12:00:00,3.5
11654,13,15,11654,maringa,PR,sports,0.85,82.12,other,2018-06-27 15:45:49,2018-07-03 18:56:50,2018-07-26 12:00:00,1.0
11655,1,0,11655,sao bernardo do campo,SP,technology,16.2,60.56,credit card,2018-07-18 15:03:36,2018-07-20 22:36:35,2018-07-31 12:00:00,1.5
11656,13,9,11656,belo horizonte,MG,technology,124.98,132.94,other,2018-03-10 12:36:48,2018-03-19 19:26:49,2018-03-28 12:00:00,1.0
11657,1,5,11657,rio de janeiro,RJ,sports,319.29,26.9,other,2018-03-01 15:49:38,2018-03-20 16:12:00,2018-04-04 12:00:00,5.0
11658,9,3,11658,unknown,SP,sports,1589.0,6.08,credit card,2018-01-09 22:17:28,2018-01-17 12:23:00,2018-01-29 12:00:00,3.0
11659,10,22,11659,unknown,MG,fashion,102.48,0.53,credit card,2018-03-06 10:41:58,2018-03-20 21:45:28,2018-03-26 12:00:00,2.0
11660,10,10,11660,sao paulo,SP,fashion,18.04,37.17,credit card,2018-05-18 13:54:58,2018-05-23 18:42:13,2018-05-30 12:00:00,1.5
11661,5,6,11661,sao paulo,SP,technology,309.9,60.07,credit card,2018-05-19 13:19:54,2018-05-29 00:27:25,2018-06-01 12:00:00,5.0
